toys,computer animation,pixar animation,kids and family,animation
based on a comic,super hero,adapted from:comic,superheroes,superhero
animation,disney animated feature,talking animals,cartoon,animated
romantic comedy,girlie movie,chick flick,romantic,romance
action,good action,remake,action packed,fight scenes
independent film,mentor,murder,good soundtrack,original
family,dysfunctional family,comedy,horrible,predictable
historical,history,us history,civil war,slavery
based on a book,fairy tale,based on book,fantasy world,modern fantasy
sequels,good sequel,mob,comedy,gangsters
innocence lost,childhood,secrets,kidnapping,cinematography
con artists,con men,poker,bdsm,twists & turns
independent film,death,intimate,criterion,family drama
pornography,art house,sexual,male nudity,nudity (full frontal - notable)
biblical,egypt,god,epic,slavery
zombies,splatter,horror,apocalypse,social commentary
god,christian,male nudity,mentor,religion
stop motion,dinosaurs,special effects,stop-motion,spiders
workplace,original,comedy,goofy,chase
70mm,racing,fun movie,race,aviation
family,children,family drama,based on a book,based on book
intimate,relationships,marriage,loneliness,divorce
australian,irish,irish accent,australia,gunfight
rats,island,spiders,cult classic,so bad it's funny
road movie,fun movie,utopia,island,silly fun
foreign,desert,runaway,comedy,chase
fairy tale,fight scenes,musical,good,buddy movie
spying,espionage,surveillance,betrayal,gunfight
oscar (best supporting actor),robbery,heist,bank robbery,caper
private detective,murder mystery,detective,murder,nostalgic
oscar (best supporting actor),comedy,oscar (best directing),oscar (best actress),original
new jersey,romantic comedy,happy ending,romantic,chick flick
documentary,horror,independent film,splatter,stand-up comedy
surreal,weird,dark humor,new york,surrealism
racing,rock and roll,las vegas,music,good music
cross dressing,girlie movie,women,stereotypes,gay character
vengeance,wuxia,tarantino,bloody,stylish
vigilante,adapted from:comic,based on a comic,superhero,super hero
children,holocaust,jews,genocide,small town
sexual,nudity (topless - notable),erotic,pornography,sexuality
girlie movie,chick flick,romantic comedy,teen movie,fashion
vengeance,vigilante,revenge,action,kidnapping
comedy,horrible,idiotic,so bad it's funny,dog
cloning,clones,pointless,predictable,alternate endings
romantic comedy,good romantic comedies,romantic,chick flick,girlie movie
teen movie,teen,high school,teenager,teens
girlie movie,new york,teen movie,single father,new york city
gypsy accent,werewolves,vampires,big budget,monsters
coming of age,gay,rape,death,adolescence
argentina,childhood,coming of age,spanish,mentor
mistaken identity,comedy,romantic comedy,original,based on a book
mythology,war,big budget,epic,action
prison,latin america,brazil,based on a book,true story
independent film,surreal,dialogue driven,dialogue,weird
gay,homosexuality,gay character,queer,aids
finnish,series,corruption,original,conspiracy
serial killer,murder,suspenseful,suspense,murder mystery
genocide,history,original,mentor,imdb top 250
world war ii,germany,nazis,fascism,wartime
revolution,latin america,civil war,political,politics
sci-fi,science fiction,scifi,alien,space
martial arts,kung fu,fight scenes,hong kong,action
rock and roll,criterion,violence,murder,music
japan,tokyo,criterion,affectionate,foreign
relationships,loneliness,melancholic,intimate,argentina
sexual,erotic,pornography,nudity (topless - notable),sexy
documentary,free speech,politics,san francisco,history
germany,nazis,world war ii,wartime,nazi
women,intimate,oscar (best foreign language film),bittersweet,talky
africa,chase,criterion,hunting,adventure
vampires,vampire,cult classic,blood,visceral
oscar (best actress),psychiatry,schizophrenia,oscar (best cinematography),psychiatrist
weird,surreal,hospital,enigmatic,criterion
remake,original,chase,suspense,good
teen movie,girlie movie,women,teen,nudity (topless)
cold war,dramatic,tense,nuclear war,president
creepy,dreams,dark fantasy,horror,childhood
violence,french,violent,stylish,brutality
criterion,meditative,ghosts,japan,supernatural
documentary,reflective,criterion,series,original
007 (series),007,bond,secret service,assassin
007,007 (series),bond,espionage,assassin
noir thriller,murder mystery,noir,film noir,detective
cancer,life & death,dramatic,compassionate,heartbreaking
007,007 (series),bond,assassin,espionage
japan,reflective,meditative,loneliness,tokyo
mozart,opera,18th century,swedish,criterion
screwball comedy,farce,screwball,paris,mistaken identity
literary adaptation,adapted from:book,jane austen,based on a book,adaptation
wartime,based on a book,war,drama,life philosophy
adapted from:book,based on a book,philosophy,based on book,philosophical
marriage,screwball comedy,criterion,relationships,romantic comedy
criterion,romance,romantic,loneliness,adultery
world war ii,wartime,war,nazis,wwii
criterion,hit men,assassin,tense,stylish
love,love story,relationships,women,romantic
70mm,music,musical,broadway,dance
lesbian,gay,women,pornography,intimate
voyeurism,hitchcock,erotic,murder,nudity (topless - notable)
western,good sequel,gunfight,sequel,indians
biographical,robert downey jr,biopic,biography,drama
oscar (best actress),disability,biopic,dramatic,true story
independent film,suicide,mental illness,original,storytelling
anti-semitism,high school,jews,boarding school,school
teen movie,teenager,awesome soundtrack,teens,teen
women,transgender,chase,destiny,comedy
obsession,psychology,psychological,kidnapping,weird
satirical,talky,stylized,erotic,nudity (topless - notable)
wartime,camp,musical,good,entertaining
haunted house,supernatural,ghosts,scary,horror
based on a play,comedy,farce,mentor,funny
witch,brutality,creepy,horror,visceral
splatter,action,zombies,samurai,zombie
adapted from:book,jane austen,costume drama,literary adaptation,based on a book
ghosts,based on a book,wartime,original,adaptation
england,original,based on a play,light,british
conspiracy,dramatic,social commentary,greed,powerful ending
tense,criterion,imdb top 250,downbeat,greed
sequel,family,sequels,predictable,pregnancy
school,children,mentor,childhood,sisters
action,good action,israel,explosions,action packed
sports,golf,romantic comedy,mentor,light
marx brothers,talky,comedy,funniest movies,quotable
romantic comedy,nudity (topless - notable),romance,romantic,love story
devil,british comedy,comedy,original,humorous
horror,criterion,classic,suspenseful,enigmatic
70mm,broadway,musical,king arthur,music
comedy,loneliness,funny,original,hilarious
horror,fun movie,macabre,original,humorous
swashbuckler,sword fight,sword fighting,mentor,light
fight scenes,martial arts,action,racing,silly fun
post apocalyptic,post-apocalyptic,desert,mentor,scifi
action,oil,fight scenes,good action,big budget
comedy,chase,fun movie,assassination,politics
noir thriller,adultery,murder,film noir,noir
nostalgic,monster,horror,affectionate,cold war
teen movie,girlie movie,teenager,teens,teen
dog,disturbing,dark,dogs,violence
space,space travel,aliens,alien,sci-fi
visually appealing,oscar (best foreign language film),beautifully filmed,cinematography,meditative
criterion,enigmatic,stylized,cerebral,hit men
criterion,surreal,existentialism,weird,satirical
terminal illness,mentor,life & death,sentimental,based on a book
criterion,russia,germany,russian,propaganda
mythology,stop motion,adventure,special effects,stop-motion
depression,criterion,lyrical,independent film,indie
meditative,melancholic,masterpiece,enigmatic,intimate
criterion,adultery,paris,melancholic,bleak
relationships,melancholic,hospital,criterion,loneliness
cult film,homeless,artist,punk,art house
criterion,japan,kurosawa,bleak,imdb top 250
poignant,intimate,social commentary,italy,tragedy
pirates,18th century,treasure hunt,based on a book,treasure
social commentary,oscar (best supporting actress),life & death,reflective,life
high school,bullying,teen,school,teen movie
based on a book,based on book,natural disaster,wilderness,apocalypse
dysfunctional family,funny,original,family,very funny
jungle,action,good action,chase,assassin
serial killer,technology,virtual reality,special effects,hospital
iran,poverty,childhood,foreign,children
musicians,music,documentary,musical,unlikely friendships
world war ii,wwii,wartime,best war films,war
terrorism,9/11,islam,israel,bombs
animation,whimsical,nostalgic,classic,childhood
police corruption,thriller,corruption,psychology,psychological
conspiracy,francis ford copolla,assassination,political,assassin
gangs,cult classic,tense,cult film,violent
finnish,world war ii,war,best war films,wwii
historical,gunfight,civil war,original,factual
small town,weird,surreal,texas,independent film
distopia,immortality,future,futuristic,weird
british comedy,mentor,cars,based on a play,gunfight
oscar (best foreign language film),rape,criterion,innocence lost,bleak
desert,best war films,world war ii,wartime,africa
africa,adultery,stunning,scenic,jungle
dreams,classic,comedy,mentor,original
espionage,spying,conspiracy,futuristic,sci-fi
murder mystery,mystery,murder,series,screwball
murder mystery,series,mystery,murder,espionage
murder mystery,murder,classic,series,racing
murder mystery,murder,mystery,detective,san francisco
murder mystery,series,mystery,classic,detective
rock and roll,music,musicians,musical,drugs
screwball comedy,mistaken identity,fun movie,marriage,divorce
oscar (best cinematography),race issues,indians,india,colonialism
martial arts,kung fu,hong kong,fight scenes,china
sequel,sequels,good sequel,small town,monster
sequel,franchise,monster,small town,monsters
magic,fantasy world,imagination,childhood,original
independent film,punk,weird,cult film,hit men
stand-up comedy,gay,lesbian,funny,original
zombies,voodoo,zombie,creepy,horror
zombies,zombie,voodoo,cult classic,original
voodoo,zombie,zombies,horror,melancholic
independent film,road trip,road movie,weird,indie
vampire,vampires,gothic,sexy,nudity (topless - notable)
vampire,vampires,gothic,goth,virginity
broadway,musical,original,lyrical,fun movie
gunfight,western,melancholic,violent,visceral
based on a play,gunfight,western,downbeat,life & death
vampires,based on a book,adapted from:book,vampire,apocalypse
martial arts,kung fu,fight scenes,brutality,violent
martial arts,kung fu,vengeance,brutality,fight scenes
western,gunfight,irish accent,spaghetti western,revolution
hit men,violent,visceral,cult classic,melancholic
gunfight,western,runaway,redemption,greed
desert,western,gunfight,quirky,lyrical
family drama,gunfight,greed,western,australia
martial arts,kung fu,cult classic,fight scenes,stylized
gothic,insanity,original,mad scientist,obsession
revenge,gothic,eerie,creepy,ominous
berlin,train,whimsical,weird,criterion
sword fight,samurai,japan,sword fighting,stylized
teen movie,teen,surfing,teenager,teenagers
oscar (best editing),satire,camp,cult film,satirical
brothers,melancholic,violent,directorial debut,original
criterion,japan,gangster,gangsters,kurosawa
cult classic,cult,sexual,lesbian,weird
devil,cult film,creepy,cult,cult classic
organized crime,mafia,gangster,mob,hit men
vengeance,vigilante,revenge,violence,oscar (best editing)
criterion,japan,bleak,detective,tense
criterion,kurosawa,japan,imdb top 250,samurai
criterion,police investigation,kurosawa,imdb top 250,japan
horror,splatter,macabre,creepy,weird
homeless,documentary,new york,new york city,independent film
marx brothers,hotel,nazis,chase,spoof
fake documentary,mockumentary,original,satire,1930s
loneliness,insanity,swedish,enigmatic,dreams
bleak,war,downbeat,war movie,civil war
criterion,loneliness,bleak,hotel,sisters
criterion,bleak,loneliness,god,meditative
oscar (best foreign language film),bleak,god,criterion,intimate
criterion,bleak,enigmatic,tense,masterpiece
golden palm,criterion,adultery,swedish,reflective
criterion,black and white,bleak,intimate,pregnancy
noir thriller,hit men,noir,criterion,film noir
based on a play,hotel,oscar (best supporting actress),drama,talky
adultery,obsession,marriage,weird,enigmatic
drinking,alcoholism,criterion,depression,adultery
coen bros,satirical,criterion,weird,enigmatic
japan,tokyo,sword fighting,vengeance,betrayal
dark fantasy,monsters,monster,horror,mutants
torture,horror,creepy,gruesome,eerie
marijuana,drugs,psychedelic,hallucinatory,weird
pornography,sex,male nudity,sexual,controversial
rock and roll,musicians,criterion,music,original
best war films,war,world war ii,wwii,70mm
undercover cop,tense,police,imdb top 250,excellent script
creepy,horror,tense,psychological,eerie
talky,relationships,original,eccentricity,artist
splatter,horror,mad scientist,gory,bdsm
robot,robots,future,scifi,giant robots
splatter,stop motion,creepy,horror,gory
space,scifi,space opera,sci-fi,sci fi
rock and roll,awesome soundtrack,cult classic,punk,cult film
cult classic,future,cult film,racing,futuristic
artist,cult,cult classic,art,murder
18th century,macabre,talky,criterion,atmospheric
alien,vampires,space,vampire,eerie
music,hip hop,love story,romance,pg-13
dancing,musical,fantasy,fairy tale,broadway
based on a book,based on book,africa,south africa,adapted from:book
politics,history,revolution,political,documentary
japan,surreal,road trip,weird,childhood
romantic comedy,chick flick,romantic,girlie movie,happy ending
meditative,amazing cinematography,reflective,imdb top 250,coming of age
based on a book,spelling bee,surreal,adapted from:book,based on book
bank robbery,heist,violent,violence,crime
serial killer,death penalty,police investigation,murder,british
creepy,supernatural,horror,ghosts,mother daughter relationship
music,chick flick,good music,music business,musicians
russian,russia,childhood,cinematography,foreign
caper,heist,art,romantic comedy,comedy
serial killer,psychological,police investigation,disturbing,insanity
western,gunfight,spoof,comedy,parody
funniest movies,hilarious,comedy,quotable,cult classic
oscar (best directing),mafia,gangster,organized crime,gangsters
family drama,drama,original,adolescence,childhood
prison escape,gangs,corruption,powerful ending,great ending
vietnam war,best war films,war,vietnam,war movie
noir,twists & turns,complex,detective,hit men
based on a play,oscar (best actress),talky,dramatic,censorship
serial killer,cannibalism,murder,disturbing,brutality
mentor,drama,touching,friendship,small town
mad scientist,monster,futuristic,monsters,time travel
action,good action,action packed,love story,espionage
tense,gunfight,small town,imdb top 250,desert
bank robbery,dark humor,black comedy,brutality,gangsters
action,good action,fight scenes,action packed,explosions
music,mentor,great movie,devil,musicians
canada,small town,doctors,comedy,feel-good
london,england,violence,brutality,love
silent,criterion,oscar (best cinematography),adultery,stylized
criterion,insanity,stylized,murder,tense
technology,fun movie,corporate america,girlie movie,geeks
world war ii,oscar (best foreign language film),nazis,jews,criterion
pornography,sexual,social commentary,documentary,sexy
pornography,sexy,erotic,original,women
relationships,friendship,romantic,romantic comedy,destiny
fighting,good soundtrack,boxing,sports,good
depression,foreign,suicide,culture clash,family drama
cyberpunk,visual,visually stunning,post-apocalyptic,animation
mad scientist,horror,low budget,aging,fountain of youth
horror,low budget,monster,monsters,spiders
world war ii,wartime,wwii,best war films,war
brutality,gangster,splatter,violence,violent
criterion,enigmatic,meditative,golden palm,cinematography
based on a book,oscar (best actor),based on book,adapted from:book,social commentary
oscar (best supporting actor),artist,biopic,biographical,biography
golden palm,criterion,rome,social commentary,masterpiece
anime,japan,complex,nocturnal,dark
undercover cop,addiction,drugs,drug addiction,corruption
swashbuckler,sword fight,adventure,pirates,sword fighting
horror,family drama,vengeance,demons,original
alien,feel-good,memory loss,spielberg,special effects
mentor,literature,working class,relationships,oscar (best actress)
small town,musical,nostalgic,fun movie,family
criterion,japan,poignant,black and white,meditative
criterion,paris,french,france,screwball
wartime,war,original,cynical,insanity
historical,costume drama,70mm,england,history
based on a play,controversial,sexual,talky,oscar (best actress)
criterion,enigmatic,meditative,intimate,loneliness
sex,cult classic,cult film,sexual,camp
criterion,memory,intimate,french,melancholic
germany,manipulation,surveillance,enigmatic,suspenseful
criterion,japan,masterpiece,greed,samurai
indians,native americans,religion,christianity,catholicism
18th century,costume drama,criterion,latin america,greed
horror,classic,original,suspense,immortality
assassin,tense,assassination,france,suspenseful
literary adaptation,adapted from:book,oscar (best supporting actress),based on a book,existentialism
irish,ireland,gangs,childhood,friendship
psychological,horror,suspense,creepy,suspenseful
remake,horror,splatter,zombies,zombie
indians,native americans,oscar (best directing),revolution,war
private detective,talky,detective,classic,adapted from:book
screwball comedy,amnesia,divorce,drinking,gangster
criterion,silent,comedy,imdb top 250,talky
police investigation,serial killer,talky,murder,film noir
golden palm,criterion,cynical,enigmatic,controversial
gay,independent film,queer,homosexuality,teenager
hostage,chase,computer game,predictable,hackers
anime,animation,adventure,japan,visually appealing
surreal,dreams,surrealism,weird,cerebral
spanish,cross dressing,talky,affectionate,classic
oscar (best cinematography),best war films,world war ii,wwii,oscar (best supporting actor)
splatter,cult film,independent film,cult classic,superhero
fun movie,hollywood,mentor,california,cars
music,musicians,good music,original,harsh
criterion,surreal,enigmatic,weird,hallucinatory
musical,baseball,dancing,fun movie,light
criterion,intimate,mother daughter relationship,women,loneliness
snakes,spiders,island,animals,silly
music,musical,rock and roll,musicians,great music
remake,assassin,mentor,action,assassins
obsession,love,melancholic,relationships,foreign
history,historical,england,civil war,dramatic
spanish,spain,sex,erotic,sexuality
sports,silent,college,criterion,original
original,violence,pointless,idiotic,horrible
murder mystery,murder,indians,original,suspense
japan,criterion,kurosawa,based on a book,weird
criterion,island,hunting,1930s,suspense
political corruption,farce,screwball comedy,talky,criterion
japan,amazing photography,love,surreal,relationships
spying,espionage,spies,secrets,cold war
holiday,screwball comedy,christmas,witty,classic
relationships,loneliness,criterion,artist,transgender
coming of age,innocence lost,gunfight,mentor,adolescence
criterion,heartbreaking,enigmatic,intimate,1930s
train,mistaken identity,light,screwball comedy,fun movie
based on a book,tense,paranoia,dramatic,great acting
criterion,sisters,oscar (best cinematography),intimate,amazing cinematography
prison escape,prison,alcatraz,suspenseful,suspense
adapted from:book,literary adaptation,criterion,based on book,poverty
suprisingly clever,oscar (best animated feature),fairy tale,sequels,animation
natural disaster,end of the world,special effects,disaster,big budget
new york,romantic comedy,chick flick,fashion,teen movie
stupid as hell,so bad it's funny,hip hop,stereotypes,parody
independent film,family bonds,original,biopic,blaxploitation
relationships,loneliness,mother daughter relationship,sexuality,family drama
christianity,christian,jesus,teen,religion
end of the world,allegory,bleak,cerebral,apocalypse
emma watson,wizards,fantasy world,based on book,adapted from:book
serial killer,twist ending,suspenseful,twists & turns,murder mystery
sword fighting,japan,sword fight,samurai,violence
sci-fi,science fiction,scifi,sci fi,action
talking animals,cartoon,adapted from:comic,based on a comic,computer animation
remake,women,original,robots,robot
loneliness,criterion,reflective,enigmatic,allegory
politics,documentary,conspiracy,political,president
off-beat comedy,independent film,stupid as hell,weird,quotable
india,indians,life philosophy,homeless,poverty
doctors,hospital,cancer,mentor,drama
great acting,character study,based on a play,oscar (best directing),oscar (best actress)
chase,kids,road movie,kidnapping,original
dancing,wartime,musical,dance,broadway
too long,death,long,life & death,romantic comedy
romantic comedy,romantic,girlie movie,romance,chick flick
mistaken identity,screwball,drinking,oscar (best actress),farce
franchise,dumb but funny,comedy,predictable,silly fun
surfing,coming of age,friendship,california,good soundtrack
murder mystery,mystery,murder,ensemble cast,twists & turns
england,adolescence,british,london,coming of age
murder mystery,mystery,detective,based on a play,crime
adapted from:book,classic,mystery,based on a book,murder mystery
surreal,hallucinatory,enigmatic,artist,weird
irish,irish accent,ethnic conflict,based on true story,mining
assassin,secret service,small town,tense,assassination
spanish,pornography,spain,comedy,dark humor
small town,psychiatry,censorship,dramatic,doctors
silent,criterion,mistaken identity,chase,brothers
family,silly fun,goofy,ecology,satire
animation,anime,robot,robots,animated
world war ii,wartime,wwii,war,best war films
alien,space travel,science fiction,sci-fi,scifi
high school,rock and roll,teacher,school,mentor
russian,weird,pornography,talky,breathtaking
oscar (best foreign language film),golden palm,fascism,political corruption,criterion
oscar (best actress),father daughter relationship,based on a play,oscar (best supporting actress),costume drama
musical,music,family,romance,good music
corporate america,greed,talky,ensemble cast,cerebral
oscar (best actress),small town,rape,oscar (best directing),oscar
documentary,food,original,corporate america,entertaining
black and white,dystopic future,memory,narrated,future
intimate,independent film,melancholic,complex,bleak
indians,native americans,oscar (best cinematography),18th century,wilderness
oscar (best cinematography),adapted from:book,cinematography,based on a book,black and white
criterion,japan,world war ii,wartime,fascism
life,reflective,meditative,religion,destiny
screwball comedy,screwball,comedy,romantic comedy,witty
romantic comedy,family,chase,drama,new york city
based on a book,indians,original,adaptation,life & death
gangster,undercover cop,gangsters,mother-son relationship,noir thriller
christmas,classic,redemption,ghosts,holiday
wartime,world war ii,wwii,best war films,historical
tense,poker,gambling,mentor,claustrophobic
prison,brutality,drama,mentor,violent
addiction,drug addiction,drugs,downbeat,heroin
pornography,nudity (topless - notable),prostitution,new orleans,controversial
road movie,suspense,tense,thriller,suspenseful
oscar (best cinematography),musical,music,broadway,dance
sword fight,medieval,swashbuckler,england,sword fighting
midlife crisis,coen bros,independent film,life philosophy,great
japan,golden palm,guilt,melancholic,adultery
psychological,obsession,surveillance,weird,art house
creepy,cult classic,weird,disturbing,masterpiece
immigrants,criterion,silent,downbeat,poignant
parody,silent,spoof,goofy,satire
black and white,criterion,wartime,life & death,talky
talky,original,1930s,mentor,melancholic
undercover cop,drugs,corruption,violence,neo-noir
literary adaptation,adapted from:book,oscar (best actor),oscar (best cinematography),classic
indians,censorship,1930s,screwball,talky
aviation,disaster,censorship,san francisco,original
dog,disney,dogs,chase,cute
martial arts,remake,based on a book,fight scenes,adventure
rape,gangster,suicide,vengeance,gangsters
comedy,sports,hilarious,funny as hell,silly fun
stranded,feel-good,story,airport,drama
touching,mother-son relationship,independent film,family drama,heartwarming
comedy,dumb but funny,cross dressing,dumb,silly fun
writer's life,adapted from:book,nudity (topless - notable),literary adaptation,male nudity
love,love story,romantic,chick flick,romance
animal movie,animals,chase,beautiful scenery,stunning
biopic,musical,music,biographical,biography
fantasy world,fantasy,computer animation,cgi,original
war,best war films,wwii,world war ii,war movie
marx brothers,musical,racing,comedy,imdb top 250
world war ii,wartime,wwii,war,best war films
sex,sexual,relationships,1960s,adultery
civil war,slavery,dance,dancing,stereotypes
love,stylized,melancholic,relationships,visual
christmas,holiday,claymation,stop motion,special
french,destiny,whimsical,france,paris
small town,comedy,police,crime,funny
latin america,political,politics,revolution,communism
splatter,zombies,cult classic,zombie,alien
musical,fairy tales,broadway,fairy tale,music
history,computers,geeks,technology,biographical
politics,propaganda,political,journalism,documentary
romance,wartime,romantic,criterion,marriage
oscar (best cinematography),obsession,oscar (best actress),film noir,cinematography
island,slavery,history,historical,civil war
rock and roll,music,musicians,documentary,music business
finnish,best war films,war,war movie,history
sci-fi,science fiction,time travel,scifi,sci fi
hip hop,unlikely friendships,gangs,teen movie,violence
chase,runaway,mentor,cheating,great movie
series,absurd,hilarious,comedy,funny
drama,intense,visually appealing,cinematography,costume drama
gangster,gangsters,crime,organized crime,corruption
criterion,french,surrealism,short,surreal
independent film,criterion,intimate,existentialism,relationships
cars,france,french,comedy,car chase
france,car chase,action,cars,good action
japan,homeless,anime,tokyo,social commentary
enigmatic,ominous,suspenseful,stylish,serial killer
silent,train,criterion,chase,original
comedy,hilarious,funniest movies,funny,screwball
rags to riches,oscar (best actress),political,world politics,politics
dog,dogs,family,scotland,based on a book
romantic comedy,comedy,romantic,fun movie,feel-good
mad scientist,torture,original,macabre,talky
small town,musical,censorship,fun movie,nostalgic
oscar (best actress),relationships,oscar (best directing),oscar (best supporting actress),censorship
western,vienna,stylized,gunfight,talky
criterion,social commentary,surrealism,allegory,satire
politics,political,propaganda,iraq,9/11
romantic,romantic comedy,comedy,based on a play,sweet
vampires,horror,voodoo,vampire,creepy
cerebral,visual,jesus,life philosophy,natural disaster
1930s,gunfight,mentor,downbeat,depression
space,alien,space opera,video game,aliens
military,family,camp,original,corruption
super hero,superheroes,superhero,super-hero,based on a comic
romantic,talky,bittersweet,dialogue driven,vienna
kidnapping,suspense,suspenseful,betrayal,infidelity
historical,medieval,history,king arthur,action
comedy,funniest movies,hilarious,goofy,funny
teen movie,high school,girlie movie,teen,teenager
teen movie,girlie movie,high school,chick flick,teen
robot,robots,futuristic,future,technology
latin america,drugs,oscar (best actress),new york,drug addiction
disaster,submarine,underwater,so bad it's funny,natural disaster
alcoholism,addiction,dysfunctional family,dramatic,based on a play
musical,broadway,good music,harsh,original
western,spoof,parody,satire,goofy
bleak,loneliness,death penalty,melancholic,downbeat
gunfight,western,vigilantism,indians,mentor
erotic,new orleans,sex,adultery,nudity
70mm,civil war,western,gunfight,epic
based on a play,france,talky,history,god
music,musicians,documentary,pulp,rock and roll
jews,criterion,golden palm,mistaken identity,nazi
espionage,assassin,spying,fast paced,robert ludlum
super hero,superhero,super-hero,horrible,superheroes
glbt,gay character,gay,aids,homosexuality
original,arnold,vampire human love,unusual plot structure,quirky
criterion,crime,tense,germany,allegory
irish accent,love story,violence,irish,weird
world war ii,wwii,best war films,submarine,german
martial arts,fight scenes,lone hero,action,kung fu
space opera,space,mars,robots,fun movie
western,revolution,gunfight,mexico,sequels
disturbing,spanish,nazi,sexual abuse,intense
criterion,meditative,enigmatic,art house,intimate
gunfight,sequel,sequels,vigilante,western
prison escape,criterion,prison,french,reflective
murder,greed,police investigation,revenge,suspense
adapted from:book,based on a book,book,books,race issues
wwii,world war ii,wartime,war,best war films
dancing,musical,dance,wartime,mistaken identity
screwball comedy,comedy,teenager,fun movie,court
relationships,enigmatic,obsession,bdsm,talky
world war ii,wwii,wartime,best war films,japan
silly fun,bad plot,predictable,original,stupid as hell
paranoia,hitchcock,twists & turns,erotic,marriage
college,teen movie,high school,original,teens
world war ii,wartime,bittersweet,love story,beautifully filmed
screwball comedy,comedy,classic,screwball,light
screwball comedy,marriage,screwball,affectionate,comedy
fun movie,children,kids,childhood,family
biography,biopic,biographical,gay,musical
oscar (best actress),insanity,psychiatry,mental hospital,dramatic
comedy,original,funny,very funny,predictable
god,devil,predictable,idiotic,sacrifice
golden palm,criterion,reflective,masterpiece,amazing cinematography
jewish,judaism,catholicism,relationships,independent film
spying,paranoia,satire,satirical,psychiatry
hollywood,1930s,weird,eccentricity,disturbing
war,based on a true story,best war films,wwii,world war ii
artist,paris,art,biopic,artistic
rome,18th century,nudity (topless - notable),obsession,art
gangsters,mafia,stylish,gangster,hitman
criterion,stylized,light,affectionate,loneliness
mother-son relationship,rome,criterion,melancholic,bleak
criterion,kurosawa,japan,independent film,talky
interracial romance,hong kong,love story,romance,romantic
violence,splatter,male nudity,brutality,violent
horror,splatter,slasher,so bad it's funny,zombie
rome,criterion,light,italian,foreign
artist,art,artistic,intimate,enigmatic
crime,guns,tense,film noir,noir
gritty,noir thriller,corruption,tense,boxing
politics,political,corruption,documentary,propaganda
oscar (best actress),fascism,teacher,drama,talky
italian,italy,criterion,documentary,intimate
sports,bad plot,original,predictable,mentor
runaway,animals,witch,chase,life & death
kidnapping,chase,life & death,gangsters,greed
crime,police investigation,noir,film noir,police
noir thriller,murder,noir,film noir,tense
noir thriller,heist,noir,los angeles,film noir
swashbuckler,mentor,immortality,culture clash,gunfight
espionage,spying,spies,cold war,spy
wartime,nazis,espionage,secrets,world war ii
murder mystery,mystery,murder,chase,investigation
mystery,music,enigmatic,murder,murder mystery
world war ii,wartime,wwii,france,germany
assassin,stylish,assassins,caper,crime
brainwashing,conspiracy,remake,world politics,politics
based on a tv show,original,science fiction,kids,family
surprise ending,twist ending,plot twist,great ending,suspense
independent film,good soundtrack,bittersweet,new jersey,coming of age
criterion,japan,tokyo,intimate,affectionate
criterion,downbeat,bleak,french,melancholic
astronauts,chase,original,secrets,puppets
undercover cop,weird,criterion,parallel universe,original
russian,russia,melancholic,life philosophy,reflective
wuxia,epic,cinematography,fight scenes,historical
comedy,musical,broadway,original,rome
criterion,downbeat,documentary,intimate,manipulation
assassin,tense,los angeles,hit men,action
reality tv,romantic comedy,chick flick,happy ending,new jersey
future,futuristic,cloning,science fiction,sci-fi
independent film,narrated,off-beat comedy,quirky,indie
existentialism,allegory,violence,fight scenes,comedy
weed,marijuana,comedy,road trip,stoner movie
chick flick,girlie movie,teen movie,teen,romantic comedy
small town,feel-good,australia,feel good movie,heartwarming
alien,aliens,franchise,sci-fi,action
animation,anime,cartoon,predictable,original
adultery,relationships,infidelity,marriage,cheating
treasure hunt,stupid as hell,comedy,road trip,buddy movie
horror,devil,supernatural,prequel,franchise
alone in the world,space program,fantasy world,happy ending,hawaii
sequel,sequels,crappy sequel,original,so bad it's funny
father son relationship,working class,workplace,greed,criterion
stand-up comedy,parenthood,kids and family,comedy,funny
sisters,original,murder,twists & turns,stupid as hell
snakes,jungle,so bad it's funny,bad cgi,predictable
serial killer,murder,suspense,twists & turns,investigation
kung fu,martial arts,china,fight scenes,wuxia
adapted from:book,based on a book,literary adaptation,costume drama,period piece
vigilante,revenge,vigilantism,vengeance,pg-13
love,love story,romantic,romance,obsession
oscar (best actress),mother-son relationship,road trip,bittersweet,road movie
horror,demons,based on a book,original,scary
catholicism,relationships,new york,rape,original
relationships,marriage,infidelity,sexual,sex
poland,criterion,censorship,obsession,golden palm
cars,serial killer,vengeance,vigilante,chase
music,musical,hip hop,bad plot,musicians
criterion,small town,drinking,friendship,masterpiece
tricky,so bad it's funny,cult film,original,women
boat,animals,original,stranded,family
beauty pageant,satire,california,satirical,1970s
writer's life,based on a book,mentor,redemption,courage
demons,horror,splatter,teens,halloween
splatter,horror,nudity (topless - notable),nudity (full frontal - notable),supernatural
horrible,awful,predictable,stupid,bad plot
kidnapping,action,chase,fast paced,police corruption
based on a video game,video game adaptation,apocalypse,virus,computer game
con artists,remake,original,con men,heist
baseball,sports,mentor,comedy,new jersey
visual,futuristic,giant robots,robots,visually stunning
romantic comedy,romantic,sports,romance,girlie movie
bdsm,sex,pornography,male nudity,sexual
wartime,world war ii,wwii,destiny,spain
romantic comedy,chick flick,president,teen movie,secret service
alien,aliens,plot holes,memory,scifi
